STRUCTURE_NUMBER_008,BridgeCondition,SimpleOwner
000000000002919,G,PennDOT
000000000002924,F,PennDOT
000000000002927,F,PennDOT
000000000002928,F,PennDOT
000000000002929,G,PennDOT
000000000002930,F,PennDOT
000000000002932,F,PennDOT
000000000002934,F,PennDOT
000000000002937,G,PennDOT
000000000002940,G,PennDOT
000000000002942,G,PennDOT
000000000002943,G,PennDOT
000000000002944,F,PennDOT
000000000002945,F,PennDOT
000000000002946,F,PennDOT
000000000002947,F,PennDOT
000000000002950,F,PennDOT
000000000002952,F,PennDOT
000000000002953,F,PennDOT
000000000002954,G,PennDOT
000000000002955,F,PennDOT
000000000002956,F,PennDOT
000000000002957,F,PennDOT
000000000002958,F,PennDOT
000000000002960,F,PennDOT
000000000002962,F,PennDOT
000000000002963,F,PennDOT
000000000002974,P,PennDOT
000000000002976,F,PennDOT
000000000002977,F,PennDOT
000000000002985,F,PennDOT
000000000002986,F,PennDOT
000000000002989,F,PennDOT
000000000002994,F,PennDOT
000000000002995,F,PennDOT
000000000002996,F,PennDOT
000000000002997,F,PennDOT
000000000003002,F,PennDOT
000000000003007,F,PennDOT
000000000003020,F,PennDOT
000000000003021,F,PennDOT
000000000003022,F,PennDOT
000000000003023,F,PennDOT
000000000003031,F,PennDOT
000000000003032,F,PennDOT
000000000003033,F,PennDOT
000000000003035,F,PennDOT
000000000003037,F,PennDOT
000000000003039,F,PennDOT
000000000003040,F,PennDOT
000000000003044,P,PennDOT
000000000003046,F,PennDOT
000000000003047,F,PennDOT
000000000003048,F,PennDOT
000000000003050,F,PennDOT
000000000003052,F,PennDOT
000000000003053,F,PennDOT
000000000003054,F,PennDOT
000000000003055,F,PennDOT
000000000003057,F,PennDOT
000000000003069,F,PennDOT
000000000003071,F,PennDOT
000000000003074,F,PennDOT
000000000003080,F,PennDOT
000000000003081,F,PennDOT
000000000003085,F,PennDOT
000000000003089,F,PennDOT
000000000003093,F,PennDOT
000000000003094,F,PennDOT
000000000003098,F,PennDOT
000000000003099,F,PennDOT
000000000003102,F,PennDOT
000000000003104,F,PennDOT
000000000003108,F,PennDOT
000000000003110,F,PennDOT
